9.999999989000000866e+00 8.298954963684082031e-01 1.512308120727539062e-01 1.800251007080078125e-02 8.711814880371093750e-04
9.154992224719325833e+00 7.972912788391113281e-01 1.771483421325683594e-01 2.420759201049804688e-02 1.352787017822265625e-03
8.374897017021257994e+00 7.650051116943359375e-01 2.018752098083496094e-01 3.116416931152343750e-02 1.955509185791015625e-03
7.654727855508843604e+00 7.335252761840820312e-01 2.249803543090820312e-01 3.878688812255859375e-02 2.707481384277343750e-03
6.989881287967524059e+00 7.036767005920410156e-01 2.459883689880371094e-01 4.673671722412109375e-02 3.598213195800781250e-03
6.376107494261620268e+00 6.753635406494140625e-01 2.651495933532714844e-01 5.484485626220703125e-02 4.642009735107421875e-03
5.809483120711365522e+00 6.490745544433593750e-01 2.823576927185058594e-01 6.289720535278320312e-02 5.670547485351562500e-03
5.286386201302876842e+00 6.251459121704101562e-01 2.976074218750000000e-01 7.052278518676757812e-02 6.723880767822265625e-03
4.803473005422889131e+00 6.033635139465332031e-01 3.110947608947753906e-01 7.767963409423828125e-02 7.862091064453125000e-03
4.357656664124741397e+00 5.836911201477050781e-01 3.230757713317871094e-01 8.445167541503906250e-02 8.781433105468750000e-03
3.946087438300853734e+00 5.662889480590820312e-01 3.333711624145507812e-01 9.068346023559570312e-02 9.656429290771484375e-03
3.566134502632234415e+00 5.503978729248046875e-01 3.429975509643554688e-01 9.625101089477539062e-02 1.035356521606445312e-02
3.215369128874732141e+00 5.364398956298828125e-01 3.513226509094238281e-01 1.013612747192382812e-01 1.087617874145507812e-02
2.891549160986528921e+00 5.237550735473632812e-01 3.591651916503906250e-01 1.057324409484863281e-01 1.134729385375976562e-02
2.592604682859079190e+00 5.125474929809570312e-01 3.662819862365722656e-01 1.094832420349121094e-01 1.168727874755859375e-02
2.316624787037004918e+00 5.027761459350585938e-01 3.726015090942382812e-01 1.128101348876953125e-01 1.181221008300781250e-02
2.061845359850225101e+00 4.938097000122070312e-01 3.785457611083984375e-01 1.158185005187988281e-01 1.182603836059570312e-02
1.826637804878636029e+00 4.857082366943359375e-01 3.841161727905273438e-01 1.183509826660156250e-01 1.182460784912109375e-02
1.609498632667703433e+00 4.787220954895019531e-01 3.889217376708984375e-01 1.207394599914550781e-01 1.161670684814453125e-02
1.409039850150516138e+00 4.724121093750000000e-01 3.931136131286621094e-01 1.230707168579101562e-01 1.140356063842773438e-02
1.223980088343752826e+00 4.665298461914062500e-01 3.974137306213378906e-01 1.249108314514160156e-01 1.114559173583984375e-02
1.053136411604173706e+00 4.614377021789550781e-01 4.008636474609375000e-01 1.268305778503417969e-01 1.086807250976562500e-02
8.954167560889185751e-01 4.569287300109863281e-01 4.037346839904785156e-01 1.287617683410644531e-01 1.057481765747070312e-02
7.498129490848761680e-01 4.529747962951660156e-01 4.061384201049804688e-01 1.305284500122070312e-01 1.035833358764648438e-02
6.153942645854042492e-01 4.493870735168457031e-01 4.082908630371093750e-01 1.322798728942871094e-01 1.004219055175781250e-02
4.913014739204808468e-01 4.461631774902343750e-01 4.101390838623046875e-01 1.340079307556152344e-01 9.689807891845703125e-03
3.767413534108279283e-01 4.432516098022460938e-01 4.115691184997558594e-01 1.358261108398437500e-01 9.353160858154296875e-03
2.709816139379379596e-01 4.405817985534667969e-01 4.128298759460449219e-01 1.375284194946289062e-01 9.059906005859375000e-03
1.733462200188897739e-01 4.384660720825195312e-01 4.136605262756347656e-01 1.390790939331054688e-01 8.794307708740234375e-03
8.321106846463255380e-02 4.363656044006347656e-01 4.144577980041503906e-01 1.406569480895996094e-01 8.519649505615234375e-03
-1.001067673200850550e-09 4.344620704650878906e-01 4.150285720825195312e-01 1.422786712646484375e-01 8.230686187744140625e-03
